X,Y,OBJECTID,NAME,ADDRESS,CITY,STATE,ZIP,JURISDIC,L_SRC,SOURCE,L_DATE
182497.929499999,868705.072700001,1,DOUGLAS POLICE DEPARTMENT,29 DEPOT STREET,DOUGLAS,MA,01516,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
218163.214100003,888129.656199999,2,DOVER POLICE DEPARTMENT,3 WALPOLE STREET,DOVER,MA,02030,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
167248.734499998,866182.205499999,3,DUDLEY POLICE DEPARTMENT,71 WEST MAIN STREET,DUDLEY,MA,01571,LOCAL,MEMA,MEMA,2014/03/01 00:00:00+00
201306.4142,935882.390900001,4,DUNSTABLE POLICE DEPARTMENT,23 PLEASANT STREET,DUNSTABLE,MA,01827,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
266232.949500002,865097.6424,5,DUXBURY POLICE DEPARTMENT,155 MAYFLOWER STREET,DUXBURY,MA,02332,LOCAL,MASSGIS,MASSGIS,2022/05/03 00:00:00+00
245098.191100001,864435.610199999,6,EAST BRIDGEWATER POLICE DEPARTMENT,153 CENTRAL STREET,EAST BRIDGEWATER,MA,02333,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
326809.974200003,843475.100900002,7,EASTHAM POLICE DEPARTMENT,2550 STATE HIGHWAY,EASTHAM,MA,02642,LOCAL,CAPECODCOM,MEMA,2014/03/01 00:00:00+00
232407.674199998,867402.240899999,8,EASTON POLICE DEPARTMENT,46 LOTHOROP STREET,EASTON,MA,02356,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
118762.707999997,927125.9859,9,ERVING POLICE DEPARTMENT,71 FRENCH KING HIGHWAY,ERVING,MA,01344,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
237471.674199998,906995.190900002,10,EVERETT POLICE DEPARTMENT,45 ELM STREET,EVERETT,MA,02149,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
250605.434199996,821270.400899999,11,FAIRHAVEN POLICE DEPARTMENT,1 BRYANT LANE,FAIRHAVEN,MA,02719,LOCAL,SRPED,MEMA,2006/09/12 00:00:00+00
